Date,Open,Close,Highest,Lowest
2019-12-31,72.4825,73.4125,73.42,72.38
2020-01-02,74.06,75.0875,75.15,73.7975
2020-01-03,74.2875,74.3575,75.145,74.125
2020-01-06,73.4475,74.95,74.99,73.1875
2020-01-07,74.96,74.5975,75.225,74.37
2020-01-08,74.29,75.7975,76.109975,74.289
2020-01-09,76.80875,77.4075,77.6075,76.55
2020-01-10,77.65,77.5825,78.1675,77.0625
2020-01-13,77.91,79.24,79.2675,77.7875
2020-01-14,79.175,78.17,79.3925,78.0425
2020-01-15,77.9625,77.835,78.875,77.3875
2020-01-16,78.3975,78.81,78.925,78.0225
2020-01-17,79.0675,79.6825,79.685,78.75
2020-01-21,79.2975,79.1425,79.755,79.0
2020-01-22,79.645,79.425,79.9975,79.3275
2020-01-23,79.48,79.8075,79.89,78.9125
2020-01-24,80.0625,79.5775,80.8325,79.3797
2020-01-27,77.515,77.2375,77.9425,76.22
2020-01-28,78.15,79.4225,79.6,78.0475
2020-01-29,81.1125,81.085,81.9625,80.345
2020-01-30,80.135875,80.9675,81.0225,79.6875
2020-01-31,80.2325,77.3775,80.67,77.0725
2020-02-03,76.075,77.165,78.3725,75.555
2020-02-04,78.8275,79.7125,79.91,78.408625
2020-02-05,80.88,80.3625,81.19,79.7375
2020-02-06,80.6425,81.3025,81.305,80.0662
2020-02-07,80.5925,80.0075,80.85,79.5
2020-02-10,78.545,80.3875,80.3875,78.4625
2020-02-11,80.9,79.9025,80.975,79.6775
2020-02-12,80.3675,81.8,81.805,80.3675
2020-02-13,81.0475,81.2175,81.555,80.8375
2020-02-14,81.185,81.2375,81.495,80.7125
2020-02-18,78.84,79.75,79.9375,78.6525
2020-02-19,80.0,80.905,81.1425,80.0
2020-02-20,80.6575,80.075,81.1625,79.5525
2020-02-21,79.655,78.2625,80.1125,77.625
2020-02-24,74.315,74.545,76.045,72.3075
2020-02-25,75.2375,72.02,75.6325,71.5325
2020-02-26,71.6325,73.1625,74.47,71.625
2020-02-27,70.275,68.38,71.5,68.24
2020-02-28,64.315,68.34,69.6025,64.0925
2020-03-02,70.57,74.7025,75.36,69.43
2020-03-03,75.9175,72.33,76.0,71.45
2020-03-04,74.11,75.685,75.85,73.2825
2020-03-05,73.88,73.23,74.8875,72.8525
2020-03-06,70.5,72.2575,72.705,70.3075
2020-03-09,65.9375,66.5425,69.5225,65.75
2020-03-10,69.285,71.335,71.61,67.3425
2020-03-11,69.3475,68.8575,70.305,67.965
2020-03-12,63.985,62.0575,67.5,62.0
2020-03-13,66.2225,69.4925,69.98,63.2375
2020-03-16,60.4875,60.5525,64.77,60.0
2020-03-17,61.8775,63.215,64.4025,59.6
2020-03-18,59.9425,61.6675,62.5,59.28
2020-03-19,61.84625,61.195,63.21,60.6525
2020-03-20,61.795,57.31,62.9575,57.0
2020-03-23,57.02,56.0925,57.124925,53.1525
2020-03-24,59.09,61.72,61.9225,58.575
2020-03-25,62.6875,61.38,64.5625,61.075
2020-03-26,61.63,64.61,64.67,61.59
2020-03-27,63.1875,61.935,63.9675,61.7625
2020-03-30,62.685,63.7025,63.88,62.35
2020-03-31,63.9,63.5725,65.6225,63.0
2020-04-01,61.625,60.2275,62.18,59.7825
2020-04-02,60.085,61.2325,61.2875,59.225
2020-04-03,60.7,60.3525,61.425,59.743525
2020-04-06,62.725,65.6175,65.7775,62.345
2020-04-07,67.7,64.8575,67.925,64.75
2020-04-08,65.685,66.5175,66.8425,65.3075
2020-04-09,67.175,66.9975,67.5175,66.175
2020-04-13,67.0775,68.3125,68.425,66.4575
2020-04-14,70.0,71.7625,72.0625,69.5125
