date,daily_weighted_avg,Category
20240111,0.18979445833333333,APPLE Inc
20240112,0.16602986046511628,APPLE Inc
20240113,0.1592274827586207,APPLE Inc
20240114,0.16830122222222224,APPLE Inc
20240115,0.17762861904761906,APPLE Inc
20240116,0.14408258333333335,APPLE Inc
20240117,0.17320960975609756,APPLE Inc
20240118,0.14986676744186045,APPLE Inc
20240119,0.14237639583333336,APPLE Inc
20240120,0.25258375,APPLE Inc
20240121,0.20280063157894737,APPLE Inc
20240122,0.1958777752808989,APPLE Inc
20240123,0.19582751351351352,APPLE Inc
20240124,0.177659,APPLE Inc
20240125,0.15157497674418605,APPLE Inc
20240126,0.20573591666666666,APPLE Inc
20240301,0.20398599999999997,APPLE Inc
20240302,0.1981752222222222,APPLE Inc
20240303,0.16147662857142858,APPLE Inc
20240304,0.15813704123711345,APPLE Inc
20240305,0.12224694871794871,APPLE Inc
20240306,0.12600606122448976,APPLE Inc
20240307,0.14660267857142856,APPLE Inc
20240308,0.18207356603773586,APPLE Inc
20240309,0.14598174074074072,APPLE Inc
20240310,0.1546324482758621,APPLE Inc
20240311,0.21985565384615385,APPLE Inc
20240312,0.17296561904761906,APPLE Inc
20240313,0.18240056,APPLE Inc
20240314,0.17239055999999997,APPLE Inc
20240315,0.1994543673469388,APPLE Inc
20240316,0.2010066,APPLE Inc
20240317,0.22764483333333338,APPLE Inc
20240318,0.18817472222222223,APPLE Inc
20240319,0.16026630120481927,APPLE Inc
20240320,0.1619093125,APPLE Inc
20240321,0.1083559290780142,APPLE Inc
20240322,0.1309087555555556,APPLE Inc
20240323,0.15863338461538462,APPLE Inc
20240324,0.1933452580645161,APPLE Inc
20240325,0.12311414814814814,APPLE Inc
20240326,0.18734610714285718,APPLE Inc
20240327,0.149850875,APPLE Inc
20220303,0.006012555555555557,NVIDIA Corp
20220304,-0.0933155,NVIDIA Corp
20220306,-0.365286,NVIDIA Corp
20220307,-0.0895911,NVIDIA Corp
20220308,0.03986292207792208,NVIDIA Corp
20220309,0.03693163636363636,NVIDIA Corp
20220310,-0.06253835294117648,NVIDIA Corp
20220311,-0.029618025,NVIDIA Corp
20220312,-0.08246772000000002,NVIDIA Corp
20220314,-0.25630290243902437,NVIDIA Corp
20220315,-0.035544294117647056,NVIDIA Corp
20220316,0.07960873684210527,NVIDIA Corp
20220317,-0.03445789999999999,NVIDIA Corp
20220318,-0.06942200000000001,NVIDIA Corp
20220319,-0.08606982608695651,NVIDIA Corp
20220320,0.08412833333333335,NVIDIA Corp
20220321,-0.04663404255319149,NVIDIA Corp
20220322,0.0009530967741935471,NVIDIA Corp
20220323,0.00044827692307692306,NVIDIA Corp
20220324,-0.08578614285714284,NVIDIA Corp
